book_id,title,average_rating
190,Wild: From Lost to Found on the Pacific Crest Trail,3.96
191,Watchmen,4.35
192,"The Name of the Wind (The Kingkiller Chronicle, #1)",4.55
193,Outliers: The Story of Success,4.11
194,"Moby-Dick or, The Whale",3.46
195,The Guernsey Literary and Potato Peel Pie Society,4.12
196,Fight Club,4.2
197,"Dead Until Dark (Sookie Stackhouse, #1)",3.96
198,The Color Purple,4.17
199,Marley and Me: Life and Love With the World's Worst Dog,4.12
200,And Then There Were None,4.23
201,"The Lost Symbol (Robert Langdon, #3)",3.66
202,"Hush, Hush (Hush, Hush, #1)",4.0
203,"Beautiful Disaster (Beautiful, #1)",4.15
204,A Christmas Carol,4.02
205,"Interview with the Vampire (The Vampire Chronicles, #1)",3.97
206,"The Selection (The Selection, #1)",4.15
207,"One for the Money (Stephanie Plum, #1)",4.03
208,The Immortal Life of Henrietta Lacks,4.04
209,"The Silence of the Lambs  (Hannibal Lecter, #2)",4.14
210,"Vampire Academy (Vampire Academy, #1)",4.14
211,Blink: The Power of Thinking Without Thinking,3.89
212,Atonement,3.88
213,The Metamorphosis,3.78
214,"The Titan's Curse (Percy Jackson and the Olympians, #3)",4.33
215,Ready Player One,4.31
216,The Art of Racing in the Rain,4.19
217,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",3.98
218,"Bared to You (Crossfire, #1)",4.19
219,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",4.24
220,Twilight: The Complete Illustrated Movie Companion,4.23
221,"A Child Called ""It"" (Dave Pelzer #1)",4.08
222,"The Bourne Identity (Jason Bourne, #1)",3.98
223,"Artemis Fowl (Artemis Fowl, #1)",3.82
224,"Fallen (Fallen, #1)",3.74
225,East of Eden,4.35
226,Dark Places,3.92
227,The Client,3.97
228,"The Nanny Diaries (Nanny, #1)",3.4
229,Alice's Adventures in Wonderland & Through the Looking-Glass,4.06
230,Persuasion,4.13
231,Sarah's Key,4.14
232,"The Gunslinger (The Dark Tower, #1)",3.99
233,Love in the Time of Cholera,3.89
234,Speak,4.0
235,The Husband's Secret,3.92
236,Into Thin Air: A Personal Account of the Mount Everest Disaster,4.11
237,Carrie,3.93
238,Running with Scissors,3.7
239,World War Z: An Oral History of the Zombie War,4.01
240,"Inferno (Robert Langdon, #4)",3.8
241,Number the Stars,4.11
242,"Along Came a Spider (Alex Cross, #1)",4.08
243,Misery,4.11
244,Sharp Objects,3.92
245,Bridge to Terabithia,3.98
246,"Marked (House of Night, #1)",3.79
247,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.05
248,A Midsummer Night's Dream,3.94
249,Extremely Loud and Incredibly Close,3.97
250,Wonder,4.43
251,The Cat in the Hat,4.15
252,"Cinder (The Lunar Chronicles, #1)",4.15
253,"The Cuckoo's Calling (Cormoran Strike, #1)",3.83
254,"Shiver (The Wolves of Mercy Falls, #1)",3.78
255,Atlas Shrugged,3.68
256,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,3.64
257,Alice in Wonderland,4.03
258,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",4.24
259,"The Scorch Trials (Maze Runner, #2)",3.93
260,How to Win Friends and Influence People,4.13
261,Under the Tuscan Sun,3.72
262,Big Little Lies,4.2
263,Ella Enchanted,3.97
264,The Sun Also Rises,3.83
265,A Tree Grows in Brooklyn,4.24
266,"Kiss the Girls (Alex Cross, #2)",3.93
267,The Nightingale,4.54
268,Never Let Me Go,3.8
269,P.S. I Love You,4.01
270,Rebecca,4.2
271,Flowers for Algernon,4.07
272,Like Water for Chocolate,3.94
273,Snow Flower and the Secret Fan,4.05
274,The Godfather,4.36
275,An Abundance of Katherines,3.63
276,Foundation (Foundation #1),4.13
277,The Ocean at the End of the Lane,3.99
278,A Light in the Attic,4.34
279,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",3.75
280,"Delirium (Delirium, #1)",3.99
281,The Pelican Brief,3.95
282,Coraline,4.03
283,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",4.25
284,On the Road,3.64
285,"The Rosie Project (Don Tillman, #1)",4.01
286,The Lucky One,4.1
287,The Fountainhead,3.85
288,"The Hunt for Red October (Jack Ryan Universe, #4)",4.01
289,"Watership Down (Watership Down, #1)",4.05
290,Is Everyone Hanging Out Without Me? (And Other Concerns),3.84
291,Cutting for Stone,4.28
292,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",4.08
293,Treasure Island,3.82
294,"The Son of Neptune (The Heroes of Olympus, #2)",4.44
295,11/22/63,4.29
296,The Very Hungry Caterpillar Board Book,4.29
297,Cat's Cradle,4.18
298,The Time Machine,3.87
299,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,4.01
300,The Boy in the Striped Pajamas,4.1
301,Heart of Darkness,3.42
302,Safe Haven,4.19
303,"The Secret (The Secret, #1)",3.62
304,I Know This Much Is True,4.17
305,Pet Sematary,3.91
306,She's Come Undone,3.84
307,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",4.57
308,Can You Keep a Secret?,3.83
309,"City of Fallen Angels (The Mortal Instruments, #4)",4.16
310,"Good in Bed (Cannie Shapiro, #1)",3.7
311,The Thorn Birds,4.22
312,The Graveyard Book,4.12
313,The Light Between Oceans,4.0
314,"Inkheart (Inkworld, #1)",3.86
315,Who Moved My Cheese?,3.74
316,A Walk in the Woods,4.05
317,I Know Why the Caged Bird Sings,4.19
318,Orphan Train,4.14
319,"City of Lost Souls (The Mortal Instruments, #5)",4.3
320,"Where'd You Go, Bernadette",3.9
321,Where the Red Fern Grows,4.04
322,Neverwhere,4.18
323,The Unbearable Lightness of Being,4.08
324,Fangirl,4.12
325,A Prayer for Owen Meany,4.22
326,White Oleander,3.93
327,"Legend (Legend, #1)",4.19
328,Nineteen Minutes,4.1
329,The Last Lecture,4.25
330,"The Eye of the World (Wheel of Time, #1)",4.18
331,The Pact,4.0
332,"The Magician's Nephew (Chronicles of Narnia, #6)",4.01
333,Still Alice,4.3
334,"Reflected in You (Crossfire, #2)",4.33
335,James and the Giant Peach,3.99
336,"1st to Die (Women's Murder Club, #1)",4.05
337,The Ultimate Hitchhiker's Guide to the Galaxy,4.37
338,One Day,3.77
339,Goodnight Moon,4.27
340,"I Am Number Four (Lorien Legacies, #1)",3.94
341,The Iliad,3.83
342,The Casual Vacancy,3.28
343,The Runaway Jury,3.96
344,Naked,4.08
345,"Eldest (The Inheritance Cycle, #2)",3.96
346,"The Wonderful Wizard of Oz (Oz, #1)",3.98
347,"Prince Caspian (Chronicles of Narnia, #2)",3.96
348,We Were Liars,3.85
349,'Salem's Lot,3.99
350,Fear and Loathing in Las Vegas,4.08
351,"Clockwork Prince (The Infernal Devices, #2)",4.46
352,Yes Please,3.81
353,Othello,3.88
354,Beloved,3.77
355,"Graceling (Graceling Realm, #1)",4.1
356,"The Bad Beginning (A Series of Unfortunate Events, #1)",3.89
357,All Quiet on the Western Front,3.92
358,"Oh, The Places You'll Go!",4.34
359,And the Mountains Echoed,4.03
360,Do Androids Dream of Electric Sheep?,4.08
361,Oliver Twist,3.85
362,The Screwtape Letters,4.21
363,"Anna and the French Kiss (Anna and the French Kiss, #1)",4.08
364,How the Grinch Stole Christmas!,4.36
365,V for Vendetta,4.25
366,John Adams,4.05
367,"Odd Thomas (Odd Thomas, #1)",3.94
368,"The Subtle Knife (His Dark Materials, #2)",4.1
369,"Stargirl (Stargirl, #1)",3.74
370,"The Red Pyramid (Kane Chronicles, #1)",4.06
371,Stranger in a Strange Land,3.91
372,Dress Your Family in Corduroy and Denim,4.08
373,The BFG,4.22
374,A Short History of Nearly Everything,4.19
375,The Call of the Wild,3.83
376,"The Death Cure (Maze Runner, #3)",3.77
377,Stardust,4.07
378,The Namesake,3.96
379,"A Discovery of Witches (All Souls Trilogy, #1)",3.99
380,Norwegian Wood,4.02
381,Where the Heart Is,4.0
382,"Will Grayson, Will Grayson",3.84
383,A Million Little Pieces,3.62
384,"Frostbite (Vampire Academy, #2)",4.3
385,Quiet: The Power of Introverts in a World That Can't Stop Talking,4.04
386,"Island of the Blue Dolphins (Island of the Blue Dolphins, #1)",3.8
387,The Crucible,3.55
388,"Hatchet (Brian's Saga, #1)",3.68
389,"The Final Empire (Mistborn, #1)",4.43
390,The Strange Case of Dr. Jekyll and Mr. Hyde,3.79
391,The Lorax,4.35
392,"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)",3.96
393,"Throne of Glass (Throne of Glass, #1)",4.24
394,"Shadow Kiss (Vampire Academy, #3)",4.37
395,For Whom the Bell Tolls,3.95
396,Hotel on the Corner of Bitter and Sweet,3.98
397,Perfume: The Story of a Murderer,4.0
398,Fast Food Nation: The Dark Side of the All-American Meal,3.73
399,The Tales of Beedle the Bard,4.06
400,Neuromancer,3.88
401,A Farewell to Arms,3.79
402,The Tell-Tale Heart and Other Writings,4.15
403,The Art of War,3.95
404,Defending Jacob,3.97
405,Breakfast of Champions,4.08
406,The New Drawing on the Right Side of the Brain,3.84
407,Bel Canto,3.92
408,"Guns, Germs, and Steel: The Fates of Human Societies",4.0
409,Fried Green Tomatoes at the Whistle Stop Cafe,4.26
410,"Things Fall Apart (The African Trilogy, #1)",3.61
411,The Undomestic Goddess,3.82
412,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,4.23
413,The Three Musketeers,4.06
414,Little Bee,3.7
415,"Evermore (The Immortals, #1)",3.59
416,The Witches,4.17
417,The Thirteenth Tale,3.95
418,"Spirit Bound (Vampire Academy, #5)",4.37
419,"Blood Promise (Vampire Academy, #4)",4.35
420,Message in a Bottle,3.95
421,The Paris Wife,3.79
422,"Harry Potter Boxset (Harry Potter, #1-7)",4.74
423,"The Elite (The Selection, #2)",4.02
424,The Name of the Rose,4.11
425,Go Ask Alice,3.77
426,A Confederacy of Dunces,3.89
427,The Importance of Being Earnest,4.17
428,"The Mark of Athena (The Heroes of Olympus, #3)",4.47
429,"The Color of Magic (Discworld, #1; Rincewind #1)",3.97
430,Kafka on the Shore,4.13
431,"Red Dragon (Hannibal Lecter, #1)",4.01
432,"I, Robot (Robot #0.1)",4.17
433,"Dark Lover (Black Dagger Brotherhood, #1)",4.21
434,"Crescendo (Hush, Hush, #2)",4.07
435,Before I Fall,3.92
436,The God of Small Things,3.91
437,The Invention of Wings,4.23
438,What Alice Forgot,4.05
439,A Brief History of Time,4.12
440,"Fall of Giants (The Century Trilogy, #1)",4.26
441,Under the Dome,3.89
442,Snow Crash,4.02
443,Just Listen,4.06
444,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",4.34
445,Before I Go to Sleep,3.87
446,A Study in Scarlet,4.15
447,"Brisingr (The Inheritance Cycle, #3)",4.03
448,The Purpose Driven Life: What on Earth Am I Here for?,3.9
449,"Betrayed (House of Night, #2)",3.93
450,"Storm Front (The Dresden Files, #1)",4.02
451,Northanger Abbey,3.8
452,"The 5th Wave (The 5th Wave, #1)",4.1
453,Cold Mountain,3.83
454,If You Give a Mouse a Cookie,4.24
455,"Something Blue (Darcy & Rachel, #2)",3.92
456,A Streetcar Named Desire,3.97
457,The Historian,3.77
458,Station Eleven,4.02
459,A Man Called Ove,4.35
460,"Clockwork Princess (The Infernal Devices, #3)",4.59
461,"The Good Earth (House of Earth, #1)",3.97
462,Ways of Seeing,3.75
463,"Dragonfly in Amber (Outlander, #2)",4.31
464,Holy Bible: King James Version,4.43
465,In Her Shoes,3.78
466,The Hobbit: Graphic Novel,4.48
467,The Brief Wondrous Life of Oscar Wao,3.89
468,Their Eyes Were Watching God,3.87
469,Fantastic Beasts and Where to Find Them,3.95
470,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,4.06
471,Mansfield Park,3.84
472,Man's Search for Meaning,4.33
473,"In the Woods (Dublin Murder Squad, #1)",3.74
474,The God Delusion,3.89
475,"Where She Went (If I Stay, #2)",4.06
476,The World According to Garp,4.07
477,"Killing Floor (Jack Reacher, #1)",4.04
478,Robinson Crusoe,3.66
479,The Prince,3.78
480,"The Amber Spyglass (His Dark Materials, #3)",4.06
481,"Wizard's First Rule (Sword of Truth, #1)",4.13
482,The Kitchen House,4.18
483,Franny and Zooey,3.98
484,Choke,3.69
485,The Brothers Karamazov,4.3
486,"The City of Ember (Book of Ember, #1)",3.85
487,The Andromeda Strain,3.87
488,The Green Mile,4.42
489,The Prophet,4.22
490,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",4.35
491,"Untamed (House of Night, #4)",3.95
492,"Speaker for the Dead (Ender's Saga, #2)",4.04
493,Mere Christianity,4.31
494,The Secret History,4.07
495,A Heartbreaking Work of Staggering Genius,3.68
496,"The Clan of the Cave Bear (Earth's Children, #1)",4.02
497,Black Beauty,3.94
498,War and Peace,4.11
499,American Psycho,3.81
500,"The Princess Diaries (The Princess Diaries, #1)",3.76
501,"The No. 1 Ladies' Detective Agency  (No. 1 Ladies' Detective Agency, #1)",3.75
502,"The Walking Dead, Vol. 01: Days Gone Bye",4.3
503,"2001: A Space Odyssey (Space Odyssey, #1)",4.12
504,Redeeming Love,4.48
505,"Left Behind (Left Behind, #1)",3.81
506,"The One (The Selection, #3)",4.21
507,"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",4.49
508,Nickel and Dimed: On (Not) Getting By in America,3.6
509,Remember Me?,3.76
510,"The Great Hunt (Wheel of Time, #2)",4.2
511,"Postmortem (Kay Scarpetta, #1)",4.01
512,The Complete Stories and Poems,4.37
513,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,4.42
514,The Adventures of Sherlock Holmes,4.29
515,The Prince of Tides,4.22
516,The Amazing Adventures of Kavalier & Clay,4.17
517,"Perfect Chemistry (Perfect Chemistry, #1)",4.07
518,Peter Pan,4.1
519,"Pretties (Uglies, #2)",3.85
520,The Wind-Up Bird Chronicle,4.17
521,"The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #16)",4.14
522,Cloud Atlas,4.01
523,The Things They Carried,4.12
524,Wall and Piece,3.83
525,"Pandemonium (Delirium, #2)",4.07
526,"Darkly Dreaming Dexter (Dexter, #1)",3.89
527,"Living Dead in Dallas (Sookie Stackhouse, #2)",3.97
528,"The Dragon Reborn (Wheel of Time, #3)",4.23
529,Gulliver's Travels,3.55
530,Much Ado About Nothing,4.06
531,Beowulf,3.42
532,Batman: Year One,4.23
533,Go Set a Watchman,3.31
534,When You Are Engulfed in Flames,4.04
535,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",4.04
536,"Red Queen (Red Queen, #1)",4.08
537,The Power of Habit: Why We Do What We Do in Life and Business,4.03
538,Midnight in the Garden of Good and Evil,3.9
539,"Hopeless (Hopeless, #1)",4.34
540,A Little Princess,4.2
541,The Truth About Forever,4.13
542,"The Horse and His Boy (Chronicles of Narnia, #5)",3.9
543,"Last Sacrifice (Vampire Academy, #6)",4.42
544,"Little House on the Prairie (Little House, #2)",4.18
545,The Velveteen Rabbit,4.29
546,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,3.76
547,The War of the Worlds,3.8
548,"Pretty Little Liars (Pretty Little Liars, #1)",3.9
549,Corduroy,4.28
550,The Omnivore's Dilemma: A Natural History of Four Meals,4.17
551,Life After Life,3.74
552,The Rescue,4.1
553,Needful Things,3.87
554,"Voyager (Outlander, #3)",4.38
555,"Hamlet: Screenplay, Introduction And Film Diary",4.12
556,Cujo,3.65
557,The Virgin Suicides,3.83
558,"Dead to the World (Sookie Stackhouse, #4)",4.13
559,Tess of the D'Urbervilles,3.77
560,Madame Bovary,3.64
561,The Phantom Tollbooth,4.22
562,"The Way of Kings (The Stormlight Archive, #1)",4.64
563,"Club Dead (Sookie Stackhouse, #3)",4.03
564,It's Kind of a Funny Story,4.14
565,"The Well of Ascension (Mistborn, #2)",4.35
566,"After You (Me Before You, #2)",3.7
567,The Language of Flowers,4.07
568,"Batman: The Dark Knight Returns (The Dark Knight Saga, #1)",4.25
569,"The Angel Experiment (Maximum Ride, #1)",4.08
570,High Fidelity,3.94
571,The Guardian,4.14
572,"Oryx and Crake (MaddAddam, #1)",4.0
573,"Men Are from Mars, Women Are from Venus",3.52
574,Kitchen Confidential: Adventures in the Culinary Underbelly,4.0
575,Timeline,3.83
576,Candide,3.76
577,Tuck Everlasting,3.85
578,Christine,3.72
579,Are You My Mother?,4.16
580,The Story of Art,3.83
581,"Scarlet (The Lunar Chronicles, #2)",4.3
582,"Rich Dad, Poor Dad",3.95
583,"Silence (Hush, Hush, #3)",4.16
584,The Magicians (The Magicians #1),3.47
585,"Death Note, Vol. 1: Boredom (Death Note, #1)",4.42
586,"A Great and Terrible Beauty (Gemma Doyle, #1)",3.79
587,Everything Is Illuminated,3.9
588,"The Bourne Supremacy (Jason Bourne, #2)",4.09
589,"Easy (Contours of the Heart, #1)",4.11
590,David Copperfield,3.96
591,The Absolutely True Diary of a Part-Time Indian,4.11
592,The Master and Margarita,4.32
593,"A Wizard of Earthsea (Earthsea Cycle, #1)",3.99
594,Because of Winn-Dixie,4.0
595,A Separate Peace,3.56
596,The Rainmaker,3.91
597,Don Quixote,3.85
598,"Assassin's Apprentice (Farseer Trilogy, #1)",4.14
599,"The Restaurant at the End of the Universe (Hitchhiker's Guide, #2)",4.22
600,"Torment (Fallen, #2)",3.89
601,The Tale of Peter Rabbit,4.17
602,"The Silver Chair (Chronicles of Narnia, #4)",3.95
603,"The Hero of Ages (Mistborn, #3)",4.46
604,"Girl, Interrupted",3.9
605,"Are You There, Vodka? It's Me, Chelsea",3.85
606,Jonathan Livingston Seagull,3.8
607,"City of Heavenly Fire (The Mortal Instruments, #6)",4.48
608,Love You Forever,4.34
609,Cell,3.64
610,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4.32
611,The Silmarillion (Middle-Earth Universe),3.87
612,"The Drawing of the Three (The Dark Tower, #2)",4.23
613,The Forgotten Garden,4.12
614,The Trial,3.98
615,This Lullaby,4.03
616,Plain Truth,3.97
617,Orange Is the New Black,3.7
618,The Hound of the Baskervilles,4.09
619,"Thinking, Fast and Slow",4.08
620,"The Mists of Avalon (Avalon, #1)",4.12
621,"Are You There God? It's Me, Margaret",3.89
622,Nights in Rodanthe,3.82
623,"Mr. Mercedes (Bill Hodges Trilogy, #1)",3.92
624,"All Together Dead (Sookie Stackhouse, #7)",4.05
625,Midwives,3.97
626,The Polar Express,4.29
627,The True Story of the 3 Little Pigs,4.29
628,"Patriot Games (Jack Ryan Universe, #2)",4.11
629,Veronika Decides to Die,3.69
630,"Lean In: Women, Work, and the Will to Lead",3.94
631,"Dead as a Doornail (Sookie Stackhouse, #5)",4.01
632,"Shatter Me (Shatter Me, #1)",4.01
633,Starship Troopers,3.99
634,I've Got Your Number,3.93
635,Sophie's World,3.88
636,"The Twilight Saga Breaking Dawn Part 1: The Official Illustrated Movie Companion (The Twilight Saga: The Official Illustrated Movie Companion, #4)",4.3
637,The Martian Chronicles,4.12
638,A Visit from the Goon Squad,3.64
639,Heidi,3.97
640,Prey,3.72
641,"The Last Battle (Chronicles of Narnia, #7)",4.02
642,"World Without End (The Kingsbridge Series, #2)",4.23
643,"Chosen (House of Night, #3)",3.9
644,"Slammed (Slammed, #1)",4.29
645,"Beastly (Beastly, #1; Kendra Chronicles, #1)",3.84
646,The Canterbury Tales,3.48
647,Baby Proof,3.71
648,"Inheritance (The Inheritance Cycle, #4)",4.08
649,1Q84,3.89
650,Uncle Tom's Cabin,3.83
651,The Phantom of the Opera,3.97
652,"Definitely Dead (Sookie Stackhouse, #6)",4.02
653,Blindness,4.08
654,Freedom,3.73
655,"Crossed (Matched, #2)",3.52
